TAXGOUSDAMajor,Soil_order
Orthods,Spodosol
Udalfs,Alfisol
Ustolls,Mollisol
Aquolls,Mollisol
Aquepts,Inceptisol
Psamments,Entisol
Orthents,Entisol
Udolls,Mollisol
Aquents,Entisol
Aqualfs,Alfisols
Ustepts,Inceptisol
Udepts,Inceptisol
Aquods,Spodosol
Rendolls,Mollisol
Fluvents,Entisol
Saprists,Histosol
Usterts,Vertisol
Albolls,Mollisol
Hemists,Histosol
Arents,Entisol
Borolls,Mollisol
Udults,Ultisol
Ustalfs,Alfisol
Aquerts,Vertisol
Cryolls,Mollisol
Cryalfs,Alfisol
Ochrepts,Inceptisol
NA,Unknown