Paper,DOI,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Huang et al. 2015,10.1002/ece3.1420,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Yang et al. 2011,10.1002/jpln.201000134,Beginning soil properties,No fertilizer,NA,NA,NA,NA,NA,"Beginning soil properties, No fertilizer",1,1
Yang et al. 2011,10.1002/jpln.201000134,Beginning soil properties,NPK fertilizer,NA,NA,NA,NA,NA,"Beginning soil properties, NPK fertilizer",2,
Yang et al. 2011,10.1002/jpln.201000134,Beginning soil properties,Dairy manure plus NPK fertilizer,NA,NA,NA,NA,NA,"Beginning soil properties, Dairy manure plus NPK fertilizer",3,
Yang et al. 2011,10.1002/jpln.201000134,No fertilizer,Placeholder,NA,NA,NA,NA,NA,"No fertilizer, Placeholder",1,1
Yang et al. 2011,10.1002/jpln.201000134,NPK fertilizer,Placeholder,NA,NA,NA,NA,NA,"NPK fertilizer, Placeholder",2,
Yang et al. 2011,10.1002/jpln.201000134,Dairy manure plus NPK fertilizer,Placeholder,NA,NA,NA,NA,NA,"Dairy manure plus NPK fertilizer, Placeholder",3,
Laudicina et al. 2015,10.1002/ldr.2293,Continuous wheat rotation,Conventional tillage,NA,NA,NA,NA,NA,"Continuous wheat rotation, Conventional tillage",1,1
Laudicina et al. 2015,10.1002/ldr.2293,Continuous wheat rotation,Reduced tillage,NA,NA,NA,NA,NA,"Continuous wheat rotation, Reduced tillage",2,
Laudicina et al. 2015,10.1002/ldr.2293,Continuous wheat rotation,No till,NA,NA,NA,NA,NA,"Continuous wheat rotation, No till",3,
Laudicina et al. 2015,10.1002/ldr.2293,Faba bean-wheat rotation,Conventional tillage,NA,NA,NA,NA,NA,"Faba bean-wheat rotation, Conventional tillage",3,
Laudicina et al. 2015,10.1002/ldr.2293,Faba bean-wheat rotation,Reduced tillage,NA,NA,NA,NA,NA,"Faba bean-wheat rotation, Reduced tillage",4,
Laudicina et al. 2015,10.1002/ldr.2293,Faba bean-wheat rotation,No till,NA,NA,NA,NA,NA,"Faba bean-wheat rotation, No till",5,
Regmi et al. 2002,10.1007/s00374-002-0525-x,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Regmi et al. 2002,10.1007/s00374-002-0525-x,100 kg N ha-1,Placeholder,Placeholder,NA,NA,NA,NA,"100 kg N ha-1, Placeholder, Placeholder",1,
Regmi et al. 2002,10.1007/s00374-002-0525-x,100 kg N ha-1,26 kg P ha-1,Placeholder,NA,NA,NA,NA,"100 kg N ha-1, 26 kg P ha-1, Placeholder",2,
Regmi et al. 2002,10.1007/s00374-002-0525-x,100 kg N ha-1,23 kg N ha-1 green manure,Placeholder,NA,NA,NA,NA,"100 kg N ha-1, 23 kg N ha-1 green manure, Placeholder",3,
Regmi et al. 2002,10.1007/s00374-002-0525-x,100 kg N ha-1,42 kg N ha-1 green manure,26 kg P ha-1,NA,NA,NA,NA,"100 kg N ha-1, 42 kg N ha-1 green manure, 26 kg P ha-1",4,
Regmi et al. 2002,10.1007/s00374-002-0525-x,100 kg N ha-1,80 kg N ha-1 farmyard manure,Placeholder,NA,NA,NA,NA,"100 kg N ha-1, 80 kg N ha-1 farmyard manure, Placeholder",5,
Regmi et al. 2002,10.1007/s00374-002-0525-x,100 kg N ha-1,80 kg N ha-1 farmyard manure,26 kg P ha-1,NA,NA,NA,NA,"100 kg N ha-1, 80 kg N ha-1 farmyard manure, 26 kg P ha-1",5,
Gao et al. 2015,10.1007/s10705-015-9720-7,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Gao et al. 2015,10.1007/s10705-015-9720-7,No fertilization,NA,NA,NA,NA,NA,NA,No fertilization,1,1
Gao et al. 2015,10.1007/s10705-015-9720-7,Inorganic N,NA,NA,NA,NA,NA,NA,Inorganic N,2,
Gao et al. 2015,10.1007/s10705-015-9720-7,Inorganic N and P,NA,NA,NA,NA,NA,NA,Inorganic N and P,3,
Gao et al. 2015,10.1007/s10705-015-9720-7,Inorganic NPK,NA,NA,NA,NA,NA,NA,Inorganic NPK,4,
Gao et al. 2015,10.1007/s10705-015-9720-7,Inorganic N and organic manure,NA,NA,NA,NA,NA,NA,Inorganic N and organic manure,5,
Gao et al. 2015,10.1007/s10705-015-9720-7,Inorganic N and straw,NA,NA,NA,NA,NA,NA,Inorganic N and straw,6,
Yan and Gong 2010,10.1007/s11104-009-0268-7,"Organic fertilizer equivalent to 150 kg N ha-1, PK",NA,NA,NA,NA,NA,NA,"Organic fertilizer equivalent to 150 kg N ha-1, PK",1,
Yan and Gong 2010,10.1007/s11104-009-0268-7,"Half organic fertilizer, half NPK fertilizer",NA,NA,NA,NA,NA,NA,"Half organic fertilizer, half NPK fertilizer",2,
Yan and Gong 2010,10.1007/s11104-009-0268-7,NPK fertilizer,NA,NA,NA,NA,NA,NA,NPK fertilizer,3,
Yan and Gong 2010,10.1007/s11104-009-0268-7,NP fertilizer,NA,NA,NA,NA,NA,NA,NP fertilizer,4,
Yan and Gong 2010,10.1007/s11104-009-0268-7,PK fertilizer,NA,NA,NA,NA,NA,NA,PK fertilizer,,
Yan and Gong 2010,10.1007/s11104-009-0268-7,NK fertilizer,NA,NA,NA,NA,NA,NA,NK fertilizer,,
Yan and Gong 2010,10.1007/s11104-009-0268-7,No fertilizer,NA,NA,NA,NA,NA,NA,No fertilizer,,
Verhulst et al. 2011,10.1007/s11104-010-0618-5,Conventionally tilled raised beds,Wheat and maize residues incorporated,NA,NA,NA,NA,NA,"Conventionally tilled raised beds, Wheat and maize residues incorporated",1,1
Verhulst et al. 2011,10.1007/s11104-010-0618-5,Permanent raised beds (no till),Wheat and maize residues burned,NA,NA,NA,NA,NA,"Permanent raised beds (no till), Wheat and maize residues burned",2,
Verhulst et al. 2011,10.1007/s11104-010-0618-5,Permanent raised beds (no till),Wheat and maize residues removed,NA,NA,NA,NA,NA,"Permanent raised beds (no till), Wheat and maize residues removed",3,
Verhulst et al. 2011,10.1007/s11104-010-0618-5,Permanent raised beds (no till),"Maize residues removed, wheat straw retained on soil surface",NA,NA,NA,NA,NA,"Permanent raised beds (no till), Maize residues removed, wheat straw retained on soil surface",4,
Verhulst et al. 2011,10.1007/s11104-010-0618-5,Permanent raised beds (no till),Maize and wheat residues retained on soil surface,NA,NA,NA,NA,NA,"Permanent raised beds (no till), Maize and wheat residues retained on soil surface",5,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Conventional tillage,Crop residue retained,NA,NA,NA,NA,NA,"Conventional tillage, Crop residue retained",2,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Conventional tillage,Crop residue removed,NA,NA,NA,NA,NA,"Conventional tillage, Crop residue removed",3,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Conventional tillage,Monoculture,Crop residue retained,NA,NA,NA,NA,"Conventional tillage, Monoculture, Crop residue retained",4,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Conventional tillage,Rotation,Crop residue retained,NA,NA,NA,NA,"Conventional tillage, Rotation, Crop residue retained",5,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Conventional tillage,Monoculture,Crop residue removed,NA,NA,NA,NA,"Conventional tillage, Monoculture, Crop residue removed",1,1
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Conventional tillage,Rotation,Crop residue removed,NA,NA,NA,NA,"Conventional tillage, Rotation, Crop residue removed",6,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Zero till,Crop residue retained,NA,NA,NA,NA,NA,"Zero till, Crop residue retained",2,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Zero till,Crop residue removed,NA,NA,NA,NA,NA,"Zero till, Crop residue removed",3,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Zero till,Monoculture,Crop residue retained,NA,NA,NA,NA,"Zero till, Monoculture, Crop residue retained",4,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Zero till,Rotation,Crop residue retained,NA,NA,NA,NA,"Zero till, Rotation, Crop residue retained",5,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Zero till,Monoculture,Crop residue removed,NA,NA,NA,NA,"Zero till, Monoculture, Crop residue removed",6,
Fuentes et al. 2012,10.1007/s11104-011-1092-4,Zero till,Rotation,Crop residue removed,NA,NA,NA,NA,"Zero till, Rotation, Crop residue removed",7,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,Whole soil,Moldboard plow,NA,NA,NA,NA,"Tillage site 1, Whole soil, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,1.00-2.00 mm aggregates,Moldboard plow,NA,NA,NA,NA,"Tillage site 1, 1.00-2.00 mm aggregates, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,4.75-9.00 mm aggregates,Moldboard plow,NA,NA,NA,NA,"Tillage site 1, 4.75-9.00 mm aggregates, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,Whole soil,Moldboard plow/direct drill,NA,NA,NA,NA,"Tillage site 1, Whole soil, Moldboard plow/direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,1.00-2.00 mm aggregates,Moldboard plow/direct drill,NA,NA,NA,NA,"Tillage site 1, 1.00-2.00 mm aggregates, Moldboard plow/direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,4.75-9.00 mm aggregates,Moldboard plow/direct drill,NA,NA,NA,NA,"Tillage site 1, 4.75-9.00 mm aggregates, Moldboard plow/direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,Whole soil,Direct drill,NA,NA,NA,NA,"Tillage site 1, Whole soil, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,1.00-2.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Tillage site 1, 1.00-2.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 1,4.75-9.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Tillage site 1, 4.75-9.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 2,Whole soil,Moldboard plow,NA,NA,NA,NA,"Tillage site 2, Whole soil, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 2,1.00-2.00 mm aggregates,Moldboard plow,NA,NA,NA,NA,"Tillage site 2, 1.00-2.00 mm aggregates, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 2,4.75-9.00 mm aggregates,Moldboard plow,NA,NA,NA,NA,"Tillage site 2, 4.75-9.00 mm aggregates, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 2,Whole soil,Chisel plow,NA,NA,NA,NA,"Tillage site 2, Whole soil, Chisel plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 2,1.00-2.00 mm aggregates,Chisel plow,NA,NA,NA,NA,"Tillage site 2, 1.00-2.00 mm aggregates, Chisel plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 2,4.75-9.00 mm aggregates,Chisel plow,NA,NA,NA,NA,"Tillage site 2, 4.75-9.00 mm aggregates, Chisel plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,Whole soil,Moldboard plow,NA,NA,NA,NA,"Tillage site 3, Whole soil, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,1.00-2.00 mm aggregates,Moldboard plow,NA,NA,NA,NA,"Tillage site 3, 1.00-2.00 mm aggregates, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,4.75-9.00 mm aggregates,Moldboard plow,NA,NA,NA,NA,"Tillage site 3, 4.75-9.00 mm aggregates, Moldboard plow",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,Whole soil,Shallow tillage,NA,NA,NA,NA,"Tillage site 3, Whole soil, Shallow tillage",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,1.00-2.00 mm aggregates,Shallow tillage,NA,NA,NA,NA,"Tillage site 3, 1.00-2.00 mm aggregates, Shallow tillage",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,4.75-9.00 mm aggregates,Shallow tillage,NA,NA,NA,NA,"Tillage site 3, 4.75-9.00 mm aggregates, Shallow tillage",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,Whole soil,Direct drill,NA,NA,NA,NA,"Tillage site 3, Whole soil, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,1.00-2.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Tillage site 3, 1.00-2.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Tillage site 3,4.75-9.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Tillage site 3, 4.75-9.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 1,Whole soil,Direct drill,NA,NA,NA,NA,"Grassland site 1, Whole soil, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 1,1.00-2.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Grassland site 1, 1.00-2.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 1,4.75-9.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Grassland site 1, 4.75-9.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 2,Whole soil,Direct drill,NA,NA,NA,NA,"Grassland site 2, Whole soil, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 2,1.00-2.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Grassland site 2, 1.00-2.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 2,4.75-9.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Grassland site 2, 4.75-9.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 3,Whole soil,Direct drill,NA,NA,NA,NA,"Grassland site 3, Whole soil, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 3,1.00-2.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Grassland site 3, 1.00-2.00 mm aggregates, Direct drill",,
Carter 1992,10.1016/0167-1987(92)90081-L,Grassland site 3,4.75-9.00 mm aggregates,Direct drill,NA,NA,NA,NA,"Grassland site 3, 4.75-9.00 mm aggregates, Direct drill",,
Hernanz et al. 2009,10.1016/j.agee.2009.05.009,Beginning soil properties,Conventional tillage,NA,NA,NA,NA,NA,"Beginning soil properties, Conventional tillage",1,1
Hernanz et al. 2009,10.1016/j.agee.2009.05.009,Beginning soil properties,Minimum tillage,NA,NA,NA,NA,NA,"Beginning soil properties, Minimum tillage",2,
Hernanz et al. 2009,10.1016/j.agee.2009.05.009,Beginning soil properties,No till,NA,NA,NA,NA,NA,"Beginning soil properties, No till",3,
Hernanz et al. 2009,10.1016/j.agee.2009.05.009,Conventional tillage,Placeholder,NA,NA,NA,NA,NA,"Conventional tillage, Placeholder",1,1
Hernanz et al. 2009,10.1016/j.agee.2009.05.009,Minimum tillage,Placeholder,NA,NA,NA,NA,NA,"Minimum tillage, Placeholder",2,
Hernanz et al. 2009,10.1016/j.agee.2009.05.009,No till,Placeholder,NA,NA,NA,NA,NA,"No till, Placeholder",3,
Gabriel et al. 2012,10.1016/j.agee.2012.06.012,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Ma et al. 2015,10.1016/j.agwat.2014.11.011,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Gabriel and Quemada 2011,10.1016/j.eja.2010.11.006,Beginning of experiment,NA,NA,NA,NA,NA,NA,Beginning of experiment,0,
Jat et al. 2014,10.1016/j.fcr.2014.04.015,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Lampurlanes et al. 2016,10.1016/j.fcr.2016.02.010,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Wang et al. 2008,10.2134/agronj2008.0012,Bare ground control,NA,NA,NA,NA,NA,NA,Bare ground control,1,1
Wang et al. 2008,10.2134/agronj2008.0012,Conventional management,NA,NA,NA,NA,NA,NA,Conventional management,2,
Messiga et al. 2011,10.1016/j.geoderma.2011.06.014,General soil properties,Moldboard plow,NA,NA,NA,NA,NA,"General soil properties, Moldboard plow",1,1
Messiga et al. 2011,10.1016/j.geoderma.2011.06.014,General soil properties,No till,NA,NA,NA,NA,NA,"General soil properties, No till",2,
Messiga et al. 2011,10.1016/j.geoderma.2011.06.014,Moldboard plow,Maize,NA,NA,NA,NA,NA,"Moldboard plow, Maize",1,1
Messiga et al. 2011,10.1016/j.geoderma.2011.06.014,No till,Maize,NA,NA,NA,NA,NA,"No till, Maize",2,
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,NPK fertilizer,NA,NA,NA,NA,NA,NA,NPK fertilizer,2,
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,No fertilizer,NA,NA,NA,NA,NA,NA,No fertilizer,1,1
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NA,NPK plus manure fertilizer,3,
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,1.5x NPK fertilizer plus manure,NA,NA,NA,NA,NA,NA,1.5x NPK fertilizer plus manure,4,
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,NPK fertilizer plus straw return,NA,NA,NA,NA,NA,NA,NPK fertilizer plus straw return,5,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,60 days after CC sowing,NA,NA,NA,NA,NA,"Control, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,110 days after CC sowing,NA,NA,NA,NA,NA,"Control, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,150 days after CC sowing,NA,NA,NA,NA,NA,"Control, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,170 days after CC sowing,NA,NA,NA,NA,NA,"Control, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,60 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,110 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,150 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,170 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,60 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,110 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,150 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,170 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,60 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,110 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,150 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,170 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 170 days after CC sowing",,
